,Player Name,Salary
617.,Malik Ellison,"$53,176"
617.,Justin Tillman,"$53,176"
617.,Tre Scott,"$53,176"
617.,Jaysean Paige,"$53,176"
617.,Trayvon Palmer,"$53,176"
617.,Micah Potter,"$53,176"
617.,Ahmad Caver,"$53,176"
617.,Moses Wright,"$53,176"
617.,Shaq Buchanan,"$53,176"
617.,Jon Teske,"$53,176"
617.,Aric Holman,"$53,176"
617.,Javin DeLaurier,"$53,176"
617.,Feron Hunt,"$53,176"
617.,Tyler Hall,"$53,176"
617.,Rob Edwards,"$53,176"
617.,Aleem Ford,"$53,176"
617.,Braxton Key,"$53,176"
617.,MJ Walker,"$53,176"
617.,Jarron Cumberland,"$53,176"
617.,Cameron McGriff,"$53,176"
617.,Brandon Williams,"$53,176"
617.,Ade Murkey,"$53,176"
617.,Jaime Echenique,"$53,176"
617.,Jordan Goodwin,"$53,176"
617.,Jordan Schakel,"$53,176"
617.,Craig Sword,"$53,176"
644.,Jared Harper,"$50,517"
